2025-05-17	10:43:50	bdacb92f-a2d0-4f8b-8934-548139acb3f4	GET	undefined	 /
2025-05-17	10:43:50	8307df69-cbc5-4612-a0c1-04c7f16faaf0	GET	undefined	 /css/style.css
2025-05-17	11:01:33	0a163c00-2beb-4eac-adc3-298ca617c4bc	OPTIONS	https://www.google.com	 /
2025-05-17	11:01:33	ac2a23cf-83b9-4548-8124-3eca4d13b4a8	GET	https://www.google.com	 /
2025-05-17	11:03:51	f68bd75b-3562-4390-8b34-c2378697a712	OPTIONS	https://www.google.com	 /
2025-05-17	11:03:51	d3d32f66-0489-43b9-921d-fd49c27bacc5	GET	https://www.google.com	 /
2025-05-17	11:04:49	6d4fa12f-4c1c-4d30-9b70-96fb0e48ca20	OPTIONS	https://www.google.com	 /
2025-05-17	11:04:49	e2073630-180f-4d2e-bca4-613941e0a89e	GET	https://www.google.com	 /
2025-05-17	11:05:56	338bb952-0d07-4c2c-a49e-51dec489ebbd	OPTIONS	https://www.google.com	 /
2025-05-17	11:05:56	9718757c-4630-4365-9e49-dac23856cad3	GET	https://www.google.com	 /
2025-05-17	11:07:17	bd1d7a93-21d7-47ce-8e4f-df9f9fdb889a	OPTIONS	https://www.google.com	 /
2025-05-17	11:07:17	ae77d88b-7d8e-4e6d-adf1-c28d1d22ba94	GET	https://www.google.com	 /
2025-05-17	11:16:36	e0ac7c36-2aab-46b9-8524-0f445a2577bd	OPTIONS	https://www.google.com	 /
2025-05-17	11:16:36	df1b5161-9da1-43d0-966d-280fdc7416d7	GET	https://www.google.com	 /
2025-05-17	11:18:47	0bf42ea6-76e6-48ae-adaf-80431b435a24	OPTIONS	https://www.google.com	 /
2025-05-17	11:18:47	69c216ff-c807-4130-8722-c3a1617d52d6	GET	https://www.google.com	 /
